idx,Machine_Name,Item No,working time,defect,defect type,
1,Press-01,ED5260,2020-05-04 0:00,0,1,주름발생
2,Press-01,ED5260,2020-05-04 0:00,1,2,터짐발생
3,Press-01,ED5260,2020-05-04 0:00,0,3,버 발생
4,Press-02,ED5260,2020-05-05 0:00,1,1,
5,Press-03,ED5260,2020-05-05 0:00,1,2,
6,Press-04,ED5260,2020-05-05 0:00,0,3,
7,Press-05,ED5260,2020-05-06 0:00,1,1,
8,Press-06,ED5260,2020-05-06 0:00,0,2,
9,Press-07,ED5260,2020-05-06 0:00,0,3,
10,Press-08,ED5260,2020-05-07 0:00,0,1,
11,Press-09,ED5260,2020-05-07 0:00,0,2,
12,Press-10,ED5260,2020-05-07 0:00,1,3,
13,Press-11,ED5260,2020-05-08 0:00,2,1,
14,Press-12,ED5260,2020-05-08 0:00,1,2,
15,Press-13,ED5260,2020-05-08 0:00,0,3,
16,Press-14,ED5260,2020-05-12 0:00,1,1,
17,Press-15,ED5260,2020-05-12 0:00,2,2,
18,Press-16,ED5260,2020-05-12 0:00,1,3,
19,Press-17,ED5260,2020-05-13 0:00,4,1,
20,Press-18,ED5260,2020-05-13 0:00,0,2,
21,Press-19,ED5260,2020-05-13 0:00,0,3,
22,Press-20,ED5260,2020-05-14 0:00,1,1,
23,Press-21,ED5260,2020-05-14 0:00,0,2,
24,Press-22,ED5260,2020-05-14 0:00,1,3,
25,Press-23,ED5260,2020-05-15 0:00,3,1,
26,Press-24,ED5260,2020-05-15 0:00,1,2,
27,Press-25,ED5260,2020-05-15 0:00,0,3,
28,Press-26,ED5260,2020-05-18 0:00,0,1,
29,Press-27,ED5260,2020-05-18 0:00,2,2,
30,Press-28,ED5260,2020-05-18 0:00,0,3,
31,Press-29,ED5260,2020-05-19 0:00,2,1,
32,Press-30,ED5260,2020-05-19 0:00,1,2,
33,Press-31,ED5260,2020-05-19 0:00,0,3,
34,Press-32,ED5260,2020-05-20 0:00,3,1,
35,Press-33,ED5260,2020-05-20 0:00,1,2,
36,Press-34,ED5260,2020-05-20 0:00,1,3,
37,Press-35,ED5260,2020-05-21 0:00,1,1,
38,Press-36,ED5260,2020-05-21 0:00,0,2,
39,Press-37,ED5260,2020-05-21 0:00,1,3,
40,Press-38,ED5260,2020-05-22 0:00,0,1,
41,Press-39,ED5260,2020-05-22 0:00,1,2,
42,Press-40,ED5260,2020-05-22 0:00,2,3,
43,Press-41,ED5260,2020-05-25 0:00,0,1,
44,Press-42,ED5260,2020-05-25 0:00,0,2,
45,Press-43,ED5260,2020-05-25 0:00,0,3,
46,Press-44,ED5260,2020-05-26 0:00,0,1,
47,Press-45,ED5260,2020-05-26 0:00,2,2,
48,Press-46,ED5260,2020-05-26 0:00,1,3,
49,Press-47,ED5260,2020-05-27 0:00,5,1,
50,Press-48,ED5260,2020-05-27 0:00,2,2,
51,Press-49,ED5260,2020-05-27 0:00,1,3,
52,Press-50,ED5260,2020-05-28 0:00,2,1,
53,Press-51,ED5260,2020-05-28 0:00,3,2,
54,Press-52,ED5260,2020-05-28 0:00,0,3,
55,Press-53,ED5260,2020-05-29 0:00,3,1,
56,Press-54,ED5260,2020-05-29 0:00,5,2,
57,Press-55,ED5260,2020-05-29 0:00,2,3,
